date,price
1/1/2016,2252.6
1/2/2016,2454.5
1/3/2016,2708.1
1/4/2016,2577.8
1/5/2016,2597.75
1/6/2016,2617.7
1/7/2016,2903.8
1/8/2016,2887.8
1/9/2016,2813.8
1/10/2016,2786.8
1/11/2016,2759.8
1/12/2016,2549
1/13/2016,2335.6
1/14/2016,2332
1/15/2016,2365.8
1/16/2016,2367.066667
1/17/2016,2368.333333
1/18/2016,2369.6
1/19/2016,2359.4
1/20/2016,2394.1
1/21/2016,2395.6
1/22/2016,2390.3
1/23/2016,2393.333333
1/24/2016,2396.366667
1/25/2016,2399.4
1/26/2016,2420.9
1/27/2016,2428.8
1/28/2016,2431.2
1/29/2016,2430.2
1/30/2016,2437.85
1/31/2016,2445.5
2/1/2016,2453.15
2/2/2016,2460.8
2/3/2016,2695.2
2/4/2016,2718.25
2/5/2016,2741.3
2/6/2016,2625.3
2/7/2016,2772.9
2/8/2016,2920.5
2/9/2016,2832.7
2/10/2016,2812.5
2/11/2016,2792.3
2/12/2016,2563.4
2/13/2016,2589.566667
2/14/2016,2615.733333
2/15/2016,2641.9
2/16/2016,2645.9
2/17/2016,2659.8
2/18/2016,2654
2/19/2016,2708.9
2/20/2016,2694.133333
2/21/2016,2679.366667
2/22/2016,2664.6
2/23/2016,2687.1
2/24/2016,2752.8
2/25/2016,2719.5
2/26/2016,2710.6
2/27/2016,2715.333333
2/28/2016,2720.066667
2/29/2016,2724.8
3/1/2016,2596.8
3/2/2016,2468.8
3/3/2016,2704
3/4/2016,2730.2
3/5/2016,2756.4
3/6/2016,2678.2
3/7/2016,2793.2
3/8/2016,2908.2
3/9/2016,2857
3/10/2016,2805.8
3/11/2016,2785
3/12/2016,2746.533333
3/13/2016,2708.066667
3/14/2016,2669.6
3/15/2016,2655
3/16/2016,2656.3
3/17/2016,2733.6
3/18/2016,2671.6
3/19/2016,2665.333333
3/20/2016,2659.066667
3/21/2016,2652.8
3/22/2016,2674.9
3/23/2016,2603.4
3/24/2016,2622.1
3/25/2016,2619.7
3/26/2016,2620.7
3/27/2016,2621.7
3/28/2016,2622.7
3/29/2016,2620.6
3/30/2016,2631.8
3/31/2016,2629.4
4/1/2016,2299.8
4/2/2016,2521.5
4/3/2016,2753.5
4/4/2016,2598.5
4/5/2016,2737.8
4/6/2016,2825.55
4/7/2016,2913.3
4/8/2016,2922.3
4/9/2016,2831.2
4/10/2016,2740.1
4/11/2016,2791.5
4/12/2016,2721.45
4/13/2016,2651.4
4/14/2016,2634.1
4/15/2016,2626.2
4/16/2016,2631.2
4/17/2016,2636.2
4/18/2016,2641.2
4/19/2016,2678.4
4/20/2016,2659
4/21/2016,2651.6
4/22/2016,2652.2
4/23/2016,2651.8
4/24/2016,2651.4
4/25/2016,2651
4/26/2016,2657.8
4/27/2016,2658.9
4/28/2016,2681.6
4/29/2016,2741.7
4/30/2016,2521.5
5/1/2016,2301.3
5/2/2016,2495.1
5/3/2016,2552.9
5/4/2016,2610.7
5/5/2016,2738.6
5/6/2016,2827.7
5/7/2016,2916.8
5/8/2016,2876
5/9/2016,2834.8
5/10/2016,2713.4
5/11/2016,2626.75
5/12/2016,2540.1
5/13/2016,2712
5/14/2016,2728.733333
5/15/2016,2745.466667
5/16/2016,2762.2
5/17/2016,2738.9
5/18/2016,2731.7
5/19/2016,2681.2
5/20/2016,2716.8
5/21/2016,2710.133333
5/22/2016,2703.466667
5/23/2016,2696.8
5/24/2016,2678.3
5/25/2016,2653
5/26/2016,2641.8
5/27/2016,2613.5
5/28/2016,2614.666667
5/29/2016,2615.833333
5/30/2016,2617
5/31/2016,2611.5
6/1/2016,2329.8
6/2/2016,2421.3
6/3/2016,2512.8
6/4/2016,2604.3
6/5/2016,2753.8
6/6/2016,2675.5
6/7/2016,2956.6
6/8/2016,2904.85
6/9/2016,2853.1
6/10/2016,2679.9
6/11/2016,2614.05
6/12/2016,2548.2
6/13/2016,2752.7
6/14/2016,2776.5
6/15/2016,2775.2
6/16/2016,2823.2
6/17/2016,2788.9
6/18/2016,2779.2
6/19/2016,2769.5
6/20/2016,2759.8
6/21/2016,2759.9
6/22/2016,2748.6
6/23/2016,2734.7
6/24/2016,2841.6
6/25/2016,2856.5
6/26/2016,2871.4
6/27/2016,2886.3
6/28/2016,2855.6
6/29/2016,2875
6/30/2016,2859.1
7/1/2016,2369.5
7/2/2016,2546.9
7/3/2016,2724.3
7/4/2016,2654.3
7/5/2016,2657.9
7/6/2016,2661.5
7/7/2016,2936.7
7/8/2016,2902.35
7/9/2016,2868
7/10/2016,2694.7
7/11/2016,2748.7
7/12/2016,2552.1
7/13/2016,2887.4
7/14/2016,2847.2
7/15/2016,2847
7/16/2016,2856.866667
7/17/2016,2866.733333
7/18/2016,2876.6
7/19/2016,2868.6
7/20/2016,2837.9
7/21/2016,2848.8
7/22/2016,2847.4
7/23/2016,2841.833333
7/24/2016,2836.266667
7/25/2016,2830.7
7/26/2016,2863.2
7/27/2016,2873.7
7/28/2016,2891.9
7/29/2016,2886
7/30/2016,2709.333333
7/31/2016,2532.666667
8/1/2016,2356
8/2/2016,2597.3
8/3/2016,2724
8/4/2016,2654.8
8/5/2016,2679.9
8/6/2016,2705
8/7/2016,2934
8/8/2016,2868.3
8/9/2016,2864.2
8/10/2016,2798.15
8/11/2016,2732.1
8/12/2016,2534.6
8/13/2016,2648.633333
8/14/2016,2762.666667
8/15/2016,2876.7
8/16/2016,2884.8
8/17/2016,2883.4
8/18/2016,2902.5
8/19/2016,2889.3
8/20/2016,2885.866667
8/21/2016,2882.433333
8/22/2016,2879
8/23/2016,2894.6
8/24/2016,2857.4
8/25/2016,2842.5
8/26/2016,2837.7
8/27/2016,2839.133333
8/28/2016,2840.566667
8/29/2016,2842
8/30/2016,2839.6
8/31/2016,2822.3
9/1/2016,2711
9/2/2016,2599.7
9/3/2016,2693.4
9/4/2016,2699.2
9/5/2016,2705
9/6/2016,2698.2
9/7/2016,2787.45
9/8/2016,2876.7
9/9/2016,2847.2
9/10/2016,2791.1
9/11/2016,2735
9/12/2016,2521.7
9/13/2016,2848.5
9/14/2016,2846.3
9/15/2016,2812.3
9/16/2016,2808.2
9/17/2016,2815.8
9/18/2016,2823.4
9/19/2016,2831
9/20/2016,2824.7
9/21/2016,2852.2
9/22/2016,2880
9/23/2016,2862.5
9/24/2016,2865.133333
9/25/2016,2867.766667
9/26/2016,2870.4
9/27/2016,2837
9/28/2016,2820
9/29/2016,2812.6
9/30/2016,2837.7
10/1/2016,2715.45
10/2/2016,2593.2
10/3/2016,2727.3
10/4/2016,2715.75
10/5/2016,2704.2
10/6/2016,2731.8
10/7/2016,2810.4
10/8/2016,2889
10/9/2016,2788.35
10/10/2016,2687.7
10/11/2016,2728.3
10/12/2016,2715.55
10/13/2016,2702.8
10/14/2016,2678.4
10/15/2016,2682.366667
10/16/2016,2686.333333
10/17/2016,2690.3
10/18/2016,2694.4
10/19/2016,2714.4
10/20/2016,2728.6
10/21/2016,2720.5
10/22/2016,2719.5
10/23/2016,2718.5
10/24/2016,2717.5
10/25/2016,2722.5
10/26/2016,2725.8
10/27/2016,2717.8
10/28/2016,2729.6
10/29/2016,2727.766667
10/30/2016,2725.933333
10/31/2016,2724.1
11/1/2016,2362
11/2/2016,2704.5
11/3/2016,2728.2
11/4/2016,2680.5
11/5/2016,2730.4
11/6/2016,2827.6
11/7/2016,2924.8
11/8/2016,2903.9
11/9/2016,2796.6
11/10/2016,2689.3
11/11/2016,2688
11/12/2016,2674.233333
11/13/2016,2660.466667
11/14/2016,2646.7
11/15/2016,2670.7
11/16/2016,2686.5
11/17/2016,2675.2
11/18/2016,2648.4
11/19/2016,2652.033333
11/20/2016,2655.666667
11/21/2016,2659.3
11/22/2016,2662.2
11/23/2016,2620.9
11/24/2016,2618.2
11/25/2016,2614.6
11/26/2016,2614.033333
11/27/2016,2613.466667
11/28/2016,2612.9
11/29/2016,2614.2
11/30/2016,2592.9
12/1/2016,2326.9
12/2/2016,2723.7
12/3/2016,2697.25
12/4/2016,2670.8
12/5/2016,2732.1
12/6/2016,2813.05
12/7/2016,2894
12/8/2016,2898
12/9/2016,2840.2
12/10/2016,2695.2
12/11/2016,2598.25
12/12/2016,2501.3
12/13/2016,2510.3
12/14/2016,2517
12/15/2016,2456.5
12/16/2016,2463.8
12/17/2016,2467.266667
12/18/2016,2470.733333
12/19/2016,2474.2
12/20/2016,2457.4
12/21/2016,2467.5
12/22/2016,2464.6
12/23/2016,2464.1
12/24/2016,2463.133333
12/25/2016,2462.166667
12/26/2016,2461.2
12/27/2016,2469.3
12/28/2016,2484.3
12/29/2016,2498.1
12/30/2016,2497.8
12/31/2016,2534.033333
1/1/2017,2570.266667
1/2/2017,2606.5
1/3/2017,2658.8
1/4/2017,2635.6
1/5/2017,2612.4
1/6/2017,2614.5
1/7/2017,2614.7
1/8/2017,2614.9
1/9/2017,2705.2
1/10/2017,2675.95
1/11/2017,2646.7
1/12/2017,2642.7
1/13/2017,2604.9
1/14/2017,2613.066667
1/15/2017,2621.233333
1/16/2017,2629.4
1/17/2017,2651.1
1/18/2017,2656.1
1/19/2017,2614.4
1/20/2017,2622.3
1/21/2017,2631.966667
1/22/2017,2641.633333
1/23/2017,2651.3
1/24/2017,2661.1
1/25/2017,2610
1/26/2017,2603.8
1/27/2017,2589
1/28/2017,2591.433333
1/29/2017,2593.866667
1/30/2017,2596.3
1/31/2017,2627.3
2/1/2017,2506.5
2/2/2017,2636.2
2/3/2017,2654.9
2/4/2017,2620.45
2/5/2017,2586
2/6/2017,2629.9
2/7/2017,2611.65
2/8/2017,2593.4
2/9/2017,2637.3
2/10/2017,2681.2
2/11/2017,2651.5
2/12/2017,2640.05
2/13/2017,2628.6
2/14/2017,2642.4
2/15/2017,2627.2
2/16/2017,2673.4
2/17/2017,2675
2/18/2017,2669.133333
2/19/2017,2663.266667
2/20/2017,2657.4
2/21/2017,2653.2
2/22/2017,2659
2/23/2017,2671.4
2/24/2017,2684.1
2/25/2017,2686.666667
2/26/2017,2689.233333
2/27/2017,2691.8
2/28/2017,2687.6
3/1/2017,2525.8
3/2/2017,2618.9
3/3/2017,2629.5
3/4/2017,2603.5
3/5/2017,2588.7
3/6/2017,2573.9
3/7/2017,2559.1
3/8/2017,2593
3/9/2017,2632.45
3/10/2017,2671.9
3/11/2017,2630.2
3/12/2017,2594.1
3/13/2017,2558
3/14/2017,2544.1
3/15/2017,2523
3/16/2017,2581.8
3/17/2017,2582.5
3/18/2017,2583.033333
3/19/2017,2583.566667
3/20/2017,2584.1
3/21/2017,2607.1
3/22/2017,2622.8
3/23/2017,2621.1
3/24/2017,2619.1
3/25/2017,2621.466667
3/26/2017,2623.833333
